epoch,accuracy,loss,val_accuracy,val_loss
0,0.476058691740036,1.1954036951065063,0.5273775458335876,1.1865153312683105
1,0.64212566614151,0.8633394837379456,0.5648415088653564,1.0968358516693115
2,0.7376141548156738,0.6722174882888794,0.5677233338356018,1.1423821449279785
3,0.79213947057724,0.5437836647033691,0.5446686148643494,1.2890746593475342
4,0.8461112380027771,0.430745393037796,0.5561959743499756,1.3305416107177734
5,0.8701909780502319,0.35059088468551636,0.5619596838951111,1.4053804874420166
6,0.9022972583770752,0.28404664993286133,0.579250693321228,1.5994133949279785
7,0.9070025086402893,0.26524776220321655,0.5878962278366089,1.6552625894546509
8,0.9255466461181641,0.21387608349323273,0.5821325778961182,1.6519190073013306
9,0.9388319849967957,0.1764647364616394,0.5504322648048401,1.751488208770752
10,0.9418765306472778,0.16656534373760223,0.5561959743499756,2.096158266067505
11,0.9518405795097351,0.1535264253616333,0.5821325778961182,2.0171117782592773
12,0.9573761224746704,0.13299871981143951,0.5360230803489685,2.149418354034424
13,0.9642956256866455,0.11613128334283829,0.5763688683509827,2.1017770767211914
14,0.9637420177459717,0.1147942841053009,0.5734870433807373,2.364529609680176
15,0.9637420177459717,0.10510388016700745,0.5446686148643494,2.467588424682617
16,0.9640188217163086,0.11160125583410263,0.5389049053192139,2.603369951248169
17,0.9648491740226746,0.11034999042749405,0.5273775458335876,2.693225622177124
18,0.9665098190307617,0.09163632243871689,0.5504322648048401,2.4825439453125
19,0.975089967250824,0.0764973983168602,0.5417867302894592,2.564260244369507
20,0.9773041605949402,0.07135062664747238,0.5734870433807373,2.374666929244995
21,0.9745364189147949,0.071701779961586,0.5475504398345947,2.46063494682312
22,0.976473867893219,0.07615505903959274,0.5561959743499756,2.6451175212860107
23,0.9659562706947327,0.09227558970451355,0.5821325778961182,2.4940805435180664
24,0.974259614944458,0.07363929599523544,0.5878962278366089,2.35294771194458
