epoch,accuracy,loss,val_accuracy,val_loss
0,0.3883199691772461,1.312508225440979,0.44092220067977905,1.2706663608551025
1,0.6617769002914429,0.9465818405151367,0.6455331444740295,0.948845386505127
2,0.7890949249267578,0.5782192349433899,0.6685879230499268,0.8234114050865173
3,0.843620240688324,0.42190057039260864,0.6772334575653076,0.8125776648521423
4,0.8765568733215332,0.33959901332855225,0.6887608170509338,0.8638078570365906
5,0.899252712726593,0.2822166085243225,0.6829971075057983,0.9026973843574524
6,0.9183503985404968,0.24074552953243256,0.680115282535553,0.9436507225036621
7,0.9349570870399475,0.20162026584148407,0.6685879230499268,0.9991232752799988
8,0.9465817809104919,0.16931557655334473,0.6541786789894104,1.0879253149032593
9,0.9565458297729492,0.14895737171173096,0.6772334575653076,1.11830472946167
10,0.9626349210739136,0.1362779438495636,0.6599423885345459,1.1750726699829102
11,0.9606974720954895,0.1242687851190567,0.6599423885345459,1.2206740379333496
12,0.9681705236434937,0.11512606590986252,0.6685879230499268,1.2860515117645264
13,0.9676169157028198,0.10398754477500916,0.651296854019165,1.2962311506271362
14,0.9706615209579468,0.09247617423534393,0.6541786789894104,1.330796241760254
15,0.972045361995697,0.08609120547771454,0.6657060384750366,1.3987329006195068
16,0.9745364189147949,0.09105316549539566,0.6426513195037842,1.4994887113571167
17,0.9745364189147949,0.08078459650278091,0.6714697480201721,1.4706740379333496
18,0.9753667116165161,0.07763992995023727,0.651296854019165,1.489150047302246
19,0.9745364189147949,0.0774097889661789,0.6628242135047913,1.4818259477615356
20,0.977027416229248,0.07899598032236099,0.6570605039596558,1.5690932273864746
21,0.9778577089309692,0.06733670830726624,0.6455331444740295,1.5459656715393066
22,0.976473867893219,0.06836426258087158,0.6541786789894104,1.5648425817489624
23,0.9775809645652771,0.06114594638347626,0.6541786789894104,1.6007360219955444
24,0.9761970639228821,0.06607958674430847,0.6570605039596558,1.619753122329712
